packet_size,packet_count,duration,bytes_sent,bytes_received,ports_scanned,syn_flag_count,urg_flag_count,latency,label
171.38070420139178,36.0805897016603,6.169375989636052,2475.355421834087,4299.012161367929,2,0.0,0,17.893379701720534,0
415.56543180299906,3.1187090809193156,0.2608505220686431,486.7476017567519,1029.8980041340649,0,0.0,0,10.605847692529988,3
830.0186806188274,74.25978243406152,6.040737223249483,44299.249004271216,6369.217558894364,26,0.0,2,178.9289349804184,1
575.7451476756685,7.872523603388541,0.1457457303371933,1653.4669934163367,3516.1852497140567,1,0.0,0,17.82425281578329,3
848.4549141814349,69.3479163382832,23.14169161485312,49098.75729753295,12134.881141497743,42,2.0,5,285.57037480566726,1
389.0474537298544,280.0495751261399,48.878020993947786,48240.60995693009,56041.06381249993,203,20.0,0,166.2295829946521,4
353.0135949776894,14.197059189323223,0.22844888968806903,1753.8563675350938,3078.643626154154,0,0.0,0,39.57885053204252,3
316.17669581479436,17.337229995191265,1.2544840053953727,1738.3977618402396,3721.138411304205,2,0.0,1,21.51302356421603,0
94.14189477736608,24.672442496757196,1.4252372292587456,884.9623569973461,1436.790799573936,2,0.0,1,31.682788314571734,0
284.90927495647713,22.425677203014317,9.112436001385547,1937.309791258699,4194.144494660358,2,1.0,1,36.666490083307295,0
698.7089544166244,10.365135119194466,2.3662344229088514,2074.2909766995963,5206.826806754708,0,0.0,0,14.100852234671088,3
1133.1929170490184,102.86232255719881,24.451125196514422,92466.38962703268,20087.651803614994,12,0.0,2,252.29520638613863,1
1074.743649656566,115.86608738552587,9.079447219328099,88844.1804786991,19127.178005105397,33,0.0,1,238.6320253975318,1
416.0246692282188,7.659225053521397,9.03905018771235,1370.6532089295754,2150.3451370189027,2,0.0,0,9.994526114606648,0
74.83724200575827,2000.9853010517477,3.747753422666812,146709.29502722845,2575.048361664836,2,2929.066680405952,0,94.00379492277719,2
525.8234607704848,36.61070486269875,14.386262926867726,13639.052942547565,4560.99269565834,21,0.0,5,108.02128415853383,1
222.60978919368796,347.6571898282336,80.24300114761957,40085.215220882696,33073.809469434425,230,15.0,0,82.47384490527861,4
343.4615741595552,236.0583512862957,104.71606003393507,36540.89461035194,42702.11207770883,260,51.0,0,200.50373211407242,4
79.89842920735452,4834.261338574786,3.9388320222947906,378489.9785517169,7761.058104264843,1,1479.1580761176992,1,64.58732803454802,2
45.31283362981863,1683.4407975458591,2.2444827230385895,73445.9356969624,2772.941740124849,1,3961.7176203307445,1,29.013735907789115,2
216.07444007162482,405.6946099826446,104.07533996784757,38178.76602772438,44392.55592347788,295,16.0,0,59.98078418217965,4
762.4361277167051,13.964892554179391,0.9349271227527006,3695.948847331853,8039.8460104760725,1,0.0,0,35.00822676064721,3
159.0483784833392,607.5963649398906,71.2707502758277,48820.172171723956,43542.16506181013,79,66.0,1,95.07877886336595,4
219.20408789195005,39.10307497089661,0.6367381419826807,2770.45074331377,4364.639766350776,0,1.0,1,49.077973787967885,0
203.86504110088907,523.1938652229662,54.427582905596516,59180.228690457094,55589.7388815882,225,95.0,1,171.62023737041835,4
76.80277336864305,42.033130079966874,2.492653002994973,1213.1979841885409,2242.6453800925733,0,0.0,1,46.31935998302488,0
469.31297837379833,40.216187293310206,1.033292982453995,8881.067677378449,10288.361767307562,0,0.0,1,13.374563803082479,0
